Airtables :
    Airtable :
      Name: airtable_1   ; 
      TableOfLiftCoefficients :
         NumberOfTerms :          2 ,        135 ;
          -32    0.015440556976    0.015440556976 
          -31    0.01502322335699999    0.01502322335699999 
          -30    0.01460186766666666    0.01460186766666666 
          -29    0.01417657734133332    0.01417657734133332 
          -28    0.01374735238099997    0.01374735238099997 
          -27    0.01331384304033334    0.01331384304033334 
          -26    0.012875961883    0.012875961883 
          -25    0.01243344660000001    0.01243344660000001 
          -24    0.01198752129999997    0.01198752129999997 
          -23    0.01154159599999999    0.01154159599999999 
          -22    0.01108692706666665    0.01108692706666665 
          -21    0.0106235145    0.0106235145 
          -20    0.01016010193333332    0.01016010193333332 
          -19    0.009591765766666649    0.009591765766666649 
          -18    0.008848556933333321    0.008848556933333321 
          -17    0.00793047543333332    0.00793047543333332 
          -16    0.006855008533333318    0.006855008533333318 
          -15    0.005648387133333328    0.005648387133333328 
          -14    0.00431935486666666    0.00431935486666666 
          -13    0.002885398999999997    0.002885398999999997 
          -12    0.001364006799999999    0.001364006799999999 
          -11    -0.0002273344666666663    -0.0002273344666666663 
          -10    -0.001862393899999999    -0.001862393899999999 
           -9    -0.003908605203566666    -0.003908605203566666 
           -8    -0.005246179999999989    -0.005246179999999989 
           -7    -0.00492381098263333    -0.00492381098263333 
           -6    -0.00437181666666666    -0.00437181666666666 
           -5    -0.004651612933333334    -0.004651612933333334 
           -4    -0.004756536533333328    -0.004756536533333328 
         -3.5    -0.004843972866666664    -0.004843972866666664 
           -3    -0.004878947399999993    -0.004878947399999993 
         -2.5    -0.004852716499999993    -0.004852716499999993 
           -2    -0.004669100199999998    -0.004669100199999998 
         -1.5    -0.003864685933333327    -0.003864685933333327 
           -1    -0.004100764033333329    -0.004100764033333329 
         -0.5    -0.004564176599999997    -0.004564176599999997 
            0    -0.005010101900000001    -0.005010101900000001 
          0.5    -0.005630899866666664    -0.005630899866666664 
            1    -0.006277928733333327    -0.006277928733333327 
          1.5    -0.006846264899999996    -0.006846264899999996 
            2    -0.007300933833333328    -0.007300933833333328 
          2.5    -0.007571986466666653    -0.007571986466666653 
            3    -0.007755602766666661    -0.007755602766666661 
          3.5    -0.007869269999999984    -0.007869269999999984 
            4    -0.007991680866666656    -0.007991680866666656 
            5    -0.008280220766666652    -0.008280220766666652 
            6    -0.008455093433333324    -0.008455093433333324 
            7    -0.008498811599999989    -0.008498811599999989 
            8    -0.00846383706666666    -0.00846383706666666 
            9    -0.008288964399999987    -0.008288964399999987 
           10    -0.008096604466666657    -0.008096604466666657 
           11    -0.007781833666666654    -0.007781833666666654 
           12    -0.007606960999999995    -0.007606960999999995 
           13    -0.007659422799999996    -0.007659422799999996 
           14    -0.007865352852266666    -0.007865352852266666 
           15    -0.008210271699999994    -0.008210271699999994 
           16    -0.008708658799999991    -0.008708658799999991 
           17    -0.009346944033333318    -0.009346944033333318 
           18    -0.01011638376666665    -0.01011638376666665 
           19    -0.01085959259999998    -0.01085959259999998 
           20    -0.01172564948166666    -0.01172564948166666 
